year,team,pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg,seed,wins,losses,winp,cwins,closses,cwinp
2005,Northern Iowa,2259.0,72.871,825.0,1707.0,0.483,222.0,573.0,0.387,385.0,550.0,0.7,263.0,8.484,739.0,23.839,1003.0,32.355,481.0,15.516,188.0,6.065,136.0,4.387,356.0,11.484,541.0,17.452,11.0,21.0,10.0,0.677,11.0,7.0,0.611
2005,Vermont,2188.0,72.933,764.0,1728.0,0.442,257.0,712.0,0.361,403.0,561.0,0.718,330.0,11.0,736.0,24.533,1066.0,35.533,474.0,15.8,203.0,6.767,57.0,1.9,352.0,11.733,477.0,15.9,13.0,25.0,5.0,0.833,16.0,2.0,0.889
2005,George Washington,2240.0,77.241,804.0,1685.0,0.477,156.0,431.0,0.362,476.0,677.0,0.703,373.0,12.862,670.0,23.103,1044.0,36.0,465.0,16.034,284.0,9.793,124.0,4.276,430.0,14.828,503.0,17.345,12.0,22.0,7.0,0.759,11.0,5.0,0.688
2005,UCF,2233.0,69.781,763.0,1641.0,0.465,272.0,733.0,0.371,435.0,630.0,0.69,388.0,12.125,738.0,23.062,1126.0,35.188,496.0,15.5,212.0,6.625,137.0,4.281,475.0,14.844,600.0,18.75,15.0,24.0,8.0,0.75,13.0,7.0,0.65
2005,Wisconsin,2015.0,67.167,696.0,1592.0,0.437,217.0,563.0,0.385,406.0,608.0,0.668,301.0,10.033,713.0,23.767,1014.0,33.8,392.0,13.067,164.0,5.467,59.0,1.967,342.0,11.4,460.0,15.333,6.0,22.0,8.0,0.733,11.0,5.0,0.688
2005,Ohio,2226.0,71.806,755.0,1629.0,0.463,173.0,537.0,0.322,543.0,776.0,0.7,348.0,11.226,682.0,22.0,1029.0,33.194,366.0,11.806,265.0,8.548,81.0,2.613,396.0,12.774,549.0,17.71,13.0,21.0,10.0,0.677,11.0,7.0,0.611
2005,Oakland,2122.0,70.733,757.0,1689.0,0.448,188.0,563.0,0.334,420.0,633.0,0.664,541.0,18.033,789.0,26.3,1330.0,44.333,448.0,14.933,217.0,7.233,75.0,2.5,357.0,11.9,531.0,17.7,16.0,12.0,18.0,0.4,7.0,9.0,0.438
2005,Pacific,2100.0,72.414,738.0,1475.0,0.5,183.0,482.0,0.38,441.0,591.0,0.746,292.0,10.069,752.0,25.931,1044.0,36.0,434.0,14.966,148.0,5.103,94.0,3.241,402.0,13.862,419.0,14.448,8.0,26.0,3.0,0.897,18.0,0.0,1.0
2005,LSU,2189.0,75.483,753.0,1626.0,0.463,199.0,540.0,0.369,484.0,663.0,0.73,321.0,11.069,703.0,24.241,1023.0,35.276,432.0,14.897,203.0,7.0,122.0,4.207,378.0,13.034,463.0,15.966,6.0,19.0,10.0,0.655,12.0,4.0,0.75
2005,Charlotte,2194.0,78.357,740.0,1709.0,0.433,224.0,609.0,0.368,490.0,716.0,0.684,392.0,14.0,666.0,23.786,1057.0,37.75,397.0,14.179,244.0,8.714,90.0,3.214,365.0,13.036,475.0,16.964,7.0,20.0,8.0,0.714,12.0,4.0,0.75
2005,Eastern Kentucky,2192.0,73.067,819.0,1714.0,0.478,188.0,534.0,0.352,366.0,544.0,0.673,705.0,23.5,1064.0,35.467,1769.0,58.967,466.0,15.533,227.0,7.567,120.0,4.0,430.0,14.333,576.0,19.2,15.0,22.0,8.0,0.733,11.0,5.0,0.688
2005,Chattanooga,2199.0,73.3,774.0,1693.0,0.457,162.0,533.0,0.304,489.0,720.0,0.679,411.0,13.7,847.0,28.233,1257.0,41.9,438.0,14.6,225.0,7.5,59.0,1.967,507.0,16.9,502.0,16.733,15.0,20.0,10.0,0.667,10.0,6.0,0.625
2005,Kansas,2188.0,75.448,781.0,1638.0,0.477,197.0,528.0,0.373,429.0,622.0,0.69,341.0,11.759,748.0,25.793,1089.0,37.552,481.0,16.586,192.0,6.621,112.0,3.862,416.0,14.345,557.0,19.207,3.0,22.0,7.0,0.759,12.0,4.0,0.75
2005,Winthrop,2181.0,70.355,745.0,1664.0,0.448,210.0,578.0,0.363,481.0,712.0,0.676,377.0,12.161,771.0,24.871,1148.0,37.032,461.0,14.871,264.0,8.516,125.0,4.032,445.0,14.355,597.0,19.258,14.0,27.0,4.0,0.871,15.0,1.0,0.938
2005,Louisiana,2177.0,72.567,777.0,1747.0,0.445,198.0,589.0,0.336,421.0,636.0,0.662,390.0,13.0,615.0,20.5,1005.0,33.5,361.0,12.033,284.0,9.467,85.0,2.833,462.0,15.4,582.0,19.4,13.0,20.0,10.0,0.667,11.0,4.0,0.733
2005,Alabama A&M ,2160.0,69.677,739.0,1840.0,0.402,188.0,628.0,0.299,494.0,809.0,0.611,363.0,11.71,734.0,23.677,1097.0,35.387,410.0,13.226,332.0,10.71,121.0,3.903,461.0,14.871,602.0,19.419,16.0,18.0,13.0,0.581,12.0,6.0,0.667
2005,Nevada,2105.0,70.167,748.0,1614.0,0.463,81.0,299.0,0.271,528.0,743.0,0.711,372.0,12.4,821.0,27.367,1193.0,39.767,459.0,15.3,211.0,7.033,159.0,5.3,440.0,14.667,470.0,15.667,9.0,25.0,5.0,0.833,16.0,2.0,0.889
2005,Minnesota,2122.0,68.452,750.0,1644.0,0.456,165.0,464.0,0.356,457.0,646.0,0.707,339.0,10.935,680.0,21.935,1019.0,32.871,445.0,14.355,283.0,9.129,144.0,4.645,487.0,15.71,493.0,15.903,8.0,20.0,11.0,0.645,10.0,6.0,0.625
2005,Boston College,2014.0,71.929,715.0,1583.0,0.452,112.0,340.0,0.329,472.0,662.0,0.713,373.0,13.321,616.0,22.0,990.0,35.357,487.0,17.393,203.0,7.25,115.0,4.107,358.0,12.786,417.0,14.893,4.0,23.0,5.0,0.821,13.0,3.0,0.812
2005,Stanford,2103.0,70.1,750.0,1715.0,0.437,120.0,345.0,0.348,483.0,653.0,0.74,583.0,19.433,934.0,31.133,1517.0,50.567,364.0,12.133,202.0,6.733,84.0,2.8,421.0,14.033,541.0,18.033,8.0,17.0,13.0,0.567,11.0,7.0,0.611
2005,Montana,2073.0,69.1,701.0,1538.0,0.456,173.0,494.0,0.35,498.0,731.0,0.681,301.0,10.033,746.0,24.867,1047.0,34.9,409.0,13.633,177.0,5.9,93.0,3.1,504.0,16.8,517.0,17.233,16.0,18.0,12.0,0.6,9.0,5.0,0.643
2005,UCLA,2072.0,74.0,722.0,1592.0,0.454,180.0,518.0,0.347,448.0,622.0,0.72,543.0,19.393,917.0,32.75,1460.0,52.143,401.0,14.321,163.0,5.821,72.0,2.571,442.0,15.786,517.0,18.464,11.0,18.0,10.0,0.643,11.0,7.0,0.611
2005,Iowa State,1983.0,68.379,732.0,1660.0,0.441,107.0,365.0,0.293,412.0,596.0,0.691,343.0,11.828,677.0,23.345,1019.0,35.138,413.0,14.241,275.0,9.483,110.0,3.793,374.0,12.897,483.0,16.655,9.0,19.0,10.0,0.655,9.0,7.0,0.562
2005,Pittsburgh,2026.0,72.357,713.0,1508.0,0.473,167.0,439.0,0.38,433.0,659.0,0.657,369.0,13.179,644.0,23.0,1013.0,36.179,429.0,15.321,182.0,6.5,117.0,4.179,396.0,14.143,476.0,17.0,9.0,20.0,8.0,0.714,10.0,6.0,0.625
2005,Bucknell,1971.0,63.581,660.0,1480.0,0.446,205.0,545.0,0.376,448.0,642.0,0.698,277.0,8.935,675.0,21.774,953.0,30.742,386.0,12.452,248.0,8.0,93.0,3.0,481.0,15.516,585.0,18.871,14.0,23.0,8.0,0.742,10.0,4.0,0.714
2005,Southeastern Louisiana,2035.0,63.594,748.0,1615.0,0.463,114.0,366.0,0.311,425.0,658.0,0.646,316.0,9.875,626.0,19.562,942.0,29.438,378.0,11.812,288.0,9.0,120.0,3.75,437.0,13.656,551.0,17.219,15.0,24.0,8.0,0.75,13.0,3.0,0.812
2005,Delaware State,1997.0,62.406,648.0,1530.0,0.424,208.0,607.0,0.343,493.0,660.0,0.747,335.0,10.469,545.0,17.031,881.0,27.531,340.0,10.625,258.0,8.062,91.0,2.844,429.0,13.406,511.0,15.969,16.0,19.0,13.0,0.594,14.0,4.0,0.778
2005,Pennsylvania ,1917.0,68.464,659.0,1509.0,0.437,182.0,533.0,0.341,417.0,630.0,0.662,334.0,11.929,697.0,24.893,1030.0,36.786,403.0,14.393,222.0,7.929,90.0,3.214,428.0,15.286,551.0,19.679,13.0,20.0,8.0,0.714,13.0,1.0,0.929
2006,Florida,2616.0,79.273,912.0,1795.0,0.508,244.0,619.0,0.394,548.0,746.0,0.735,340.0,10.303,789.0,23.909,1129.0,34.212,562.0,17.03,265.0,8.03,163.0,4.939,485.0,14.697,532.0,16.121,3.0,28.0,5.0,0.848,10.0,6.0,0.625
